Product_Number,Product_Name,Brand,Format,Unit_Price_CAD,Quantity_Ordered,Total_Price_CAD
1085769,"Pommes Délicieuse jaune, frais",Packer Label,KG CS,49.34,1,49.34
1085772,"Pommes Délicieuse rouge, frais",Packer Label,KG CS,41.31,1,41.31
1085773,"Pommes Royal Gala, frais",Packer Label,KG CS,45.9,1,45.9
1206417,"Bacon 18-22 tranches cru étalé, frais",Sodexo,KG CS,65.18,30,1955.4
1122865,"Bananes vertes du Costa Rica, frais",Packer Label,KG CS,39.02,4,156.08
1160282,"Pointe de poitrine de boeuf fumée à la montréalaise, Red Rub, cryovac, frais",Lesters,EA CS,21.42,1,219.98
1365837,"Faux-filet de boeuf 2 po, 2 x 2, AAA+, 6 kg et plus, frais",CAB,EA CS,42.53,2,2975.4
7536405,"Rôti de boeuf tranché cuit, frais",Main Street Deli,EA CS,92.79,3,278.37
1169211,"Contre-filet de boeuf 0 x 1 po 1/4, 5 kg et plus, frais",CAB,EA CS,38.76,5,6855.48
1340188,"Bologne ciré, frais",Olymel,EA CS,7.32,3,189.73
1303823,"Brocoli, frais",Packer Label,KG CS,29.84,3,89.52
1080923,Beurre salé fouetté en barquettes,Lactantia,EA CS,61.13,1,61.13
1339897,"Choux vert, frais",Packer Label,KG CS,21.23,1,21.23
1191270,"Capicollo plat doux tendre ovale, frais",Mastro,EA CS,13.25,2,126.67
1303825,"Carottes jumbo, frais",Packer Label,KG CS,25.82,1,25.82
1303832,"Chou-fleur, frais",Packer Label,KG CS,32.13,2,64.26
1123913,"Céleri, frais",Packer Label,KG CS,32.13,1,32.13
9567205,Fromage cheddar marbré,Gordon Choice,EA CS,92.28,3,276.84
1279246,"Fromage à la crème, portion, barquette",Philadelphia,EA CS,63.57,1,63.57
1080709,Fromage mozzarella râpé 17 %,Racolli,EA CS,156.51,4,626.04
1279249,"Fromage à tartiner Cheez Whiz, portion, barquette",Kraft,EA CS,69.77,1,69.77
1343303,"Poulet coupé en 9 morceaux 1,65-1,8 kg, frais",Exceldor,EA CS,6.66,3,564.77
2090018,"Clémentines, Espagne/Maroc, frais",Packer Label,KG CS,31.56,5,157.8
1203640,Crème de cuisson 35 %,Lactantia,EA CS,114.91,1,114.91
1259738,"Godets de crème à café 10 %, 15 ml",Lactantia,EA CS,28.61,5,143.05
1259734,"Godets de lait 2 %, 15 ml",Lactantia,EA CS,19.39,2,38.78
1084330,"Concombres anglais moyens sans graines, frais",Packer Label,UN CS,8.03,6,48.18
1286303,"Vinaigrette française, portion individuelle, barquette",Kraft,EA CS,38.56,1,38.56
1340041,"Oeufs durs écalés, 80 unités",Burnbrae Farms,KG CS,40.6,5,203.0
3374657,Oeufs liquides,Prestige,EA CS,105.13,4,420.52
1043563,"Oeufs bruns de calibre moyen, poules en liberté, en vrac",Burnbrae Farms,DZ CS,69.99,15,1049.85
3156578,"Ail haché dans l’huile, seau en plastique",Chef Max,KG CS,20.37,1,20.37
1473608,Gingembre,JG Rive-Sud,KG CS,8.26,1,8.26
1041484,"Jambon cuit 4 x 4, frais",Gordon Choice,EA CS,10.12,2,144.51
1299974,"Jambon fumé avec os prêt à servir, frais",Roch,EA CS,8.65,3,555.24
6763505,"Jambon toupie entier fumé désossé, frais",Olymel,EA CS,10.13,3,395.78
1275005,"Coriandre parée et lavée, frais",Ready-Set-Serve,LB EA,7.18,2,14.36
2770018,Kiwis,Packer Label,KG CS,50.49,3,151.47
1323106,Laitue verte en feuilles parée et lavée,Ready-Set-Serve,EA CS,41.53,2,83.06
1046405,"Laitue iceberg de qualité, frais",Markon First Crop,UN CS,71.26,1,71.26
1084319,Laitue romaine,Packer Label,UN CS,38.44,1,38.44
3545605,"Margarine non hydrogénée, portion, barquette",Lactantia,EA CS,40.17,1,40.17
3341637,Margarine molle,Canola Harvest,KG CS,34.25,1,34.25
2260018,"Cantaloup, frais",Packer Label,EA CS,28.11,4,112.44
2850018,"Melon miel, 6-8 unités, frais",Packer Label,KG CS,22.38,4,89.52
6559248,Lait partiellement écrémé 2 %,Parma,L CS,43.33,14,606.62
1155062,"Mortadelle demi, emballée sous vide, frais",Mastro,KGA CS,14.0,1,50.68
1326987,"Champignons moyens première qualité, no 1",Markon First Crop,LB CS,18.72,8,149.76
1339891,"Oignons jaunes, gros",Packer Label,KG CS,18.36,2,36.72
1123594,"Oranges, frais",Packer Label,UN CS,39.77,2,79.54
9782009,"Poires Bartlett, frais",Packer Label,KG CS,57.38,2,114.76
2230028,"Poivrons verts de choix, grands, frais",Packer Label,KG CS,30.41,2,60.82
1199278,"Poivrons oranges, frais",Packer Label,KG CS,33.85,1,33.85
1146745,"Poivrons rouges, frais",Packer Label,KG CS,22.38,2,44.76
1199279,"Poivrons jaunes, frais",Packer Label,KG CS,24.67,1,24.67
2110018,"Ananas Golden, 6-8 unités, frais",Packer Label,KG CS,28.69,5,143.45
1360810,"Longe de porc désossée parée, coupe courte, ¼ po, cryovac, frais",Olymel,EA CS,5.84,5,826.83
5800028,"Pommes de terre Russet emballage aluminium, 100 unités",Markon Local,KG CS,36.15,2,72.3
6350028,Pommes de terre Yukon Gold Medium,Packer Label,KG CS,22.95,3,68.85
2600205,"Prosciutto prétranché, 198 unités, frais",Main Street Deli,EA CS,111.02,1,111.02
1345742,"Purée de gingembre, frais",Gordon Choice,L CS,18.42,1,18.42
1288474,Crème sure 14 % M.G.,Dairyland,L CS,26.62,3,79.86
1282205,Bébés épinards,Ready-Set-Serve,EA CS,23.34,1,23.34
1084361,Tomates de serre,Packer Label,KG CS,24.67,3,74.01
8780438,"Poitrine de dinde fumée désossée sans peau, 19 %, cuit, frais",Flamingo,EA CS,17.84,3,349.13
1204121,Yogourts assortis fraises bleuets pêches vanille 0 %,IOGO,PAC CS,25.89,10,258.9
1172950,"Yogourts assortis fraises, bleuets, pêches et vanille 1,5 % avec morceaux de fruits",Danone,EA CS,24.79,10,247.9
1448525,Courgettes vertes,Packer Label,LB CS,24.67,1,24.67
1201275,"Galette de boeuf façon boucher crue 4 oz, congelé",Cardinal,EA CS,53.9,5,269.5
2022148,"Bleuets sauvages, surgélation individuelle",Alasko,EA CS,32.53,2,65.06
1158780,Pain baguette ciabatta précuit,Bridor,EA CS,47.36,1,47.36
1354420,"Pains hamburger juniors blancs, prêts à servir",Gordon Choice,PAC CS,58.35,4,233.4
4425405,"Pains hot dog vapeur classiques 6,5 po, prêt-à-servir",Gordon Choice,EA CS,72.9,5,364.5
1252456,"Pains hamburger bretzels gourmet 4,25 po, décongeler et servir",Sienna Bakery,EA CS,48.94,2,97.88
1213717,"Pain focaccia au romarin, précuit",Bridor,EA CS,55.31,1,55.31
1278115,"Panini tranché 5/8 po multigrain, décongeler et servir",Sienna Bakery,EA CS,73.21,1,73.21
1454970,"Pain panini blanc tranché 5/8 po, décongeler et servir",Sienna Bakery,EA CS,64.09,1,64.09
1099042,"Miche de pain blanc tranchée 3/4 po style Texas, décongeler et servir",Gordon Choice,EA CS,59.98,10,599.8
1098662,"Miche de pain au blé entier tranchée, décongeler et servir",Gordon Choice,EA CS,60.55,1,60.55
1200181,"Petits pains paninis 7 po, décongeler et servir",Bridor,EA CS,34.52,1,34.52
1182586,"Pain de seigle léger tranché, décongeler et servir",Backerhaus Vait,EA CS,58.42,1,58.42
1184900,Gâteau plaque brownie double chocolat fondant,Gordon Choice,EA CS,71.88,2,143.76
9554605,Beurre non salé,Gordon Choice,EA CS,149.9,1,149.9
1268246,Gâteau quatre-quarts tranché bleuets,Hafner,EA CS,34.94,2,69.88
4533078,Gâteau quatre-quarts citron pavot 15 po,Hafner,EA CS,43.16,2,86.32
1177533,Gâteau quatre-quarts chocolat et bananes,Hafner,EA CS,49.29,2,98.58
1184892,"Gâteau plaque croustade aux pommes, 12 x 16 po",Gordon Choice,EA CS,90.33,1,90.33
2753078,"Gâteau plaque Boston, 12 x 16 po",Hafner,EA CS,83.0,1,83.0
1174125,Gâteau plaque aux carottes campagnard,Original Cakerie,EA CS,57.49,2,114.98
2563078,"Gâteau plaque poires-caramel, 12 x 16 po",Hafner,EA CS,82.82,2,165.64
1371598,"Gâteau plaque Reine-Élizabeth, 12 x 16 po, congelé",Martin Dessert,EA CS,37.47,2,74.94
2593078,"Gâteau plaque framboise, 12 x 16 po",Hafner,EA CS,96.29,2,192.58
1533506,"Poitrines de poulet désossées 7-8 oz 17 %, surgélation individuelle",Flamingo,KG CS,61.0,20,1220.0
1290249,"Galette de poulet moulée panée, 37 unités, congelé",Gordon Choice,EA CS,47.94,4,191.76
1114461,"Poulet en dés 1/2 po 100 % viande blanche, cuit, congelé",Flamingo,KG CS,63.02,4,252.08
1372083,"Poulet en dés 1/2 po, 20 % de viande blanche et 80 % de viande brune, cuit, surgelé",Flamingo,KG CS,49.33,4,197.32
1961447,"Lanières de poulet panées Love Me Tender 80-90 unités, congelé",Galco,KG CS,74.09,10,740.9
1059292,"Filet de morue bleue 4 oz, MSC, surgélation individuelle",High Liner Foods,KG CS,52.33,4,209.32
1033084,"Pâte à biscuits Gourmet, assortiment",Otis Spunkmeyer,EA CS,85.37,5,426.85
1623028,Pâte à biscuits Avoine et raisins secs,Gordon Choice,EA CS,64.6,5,323.0
1149985,"Épis de maïs courts, 2,5 po, 96 un, surgelé individuellement",Arctic Gardens,KG CS,49.61,1,49.61
5004605,Frites coupe régulière 3/8 po,McCain,EA CS,57.56,15,863.4
8729205,"Filet d’aiglefin à la bière en pâte à frire coupe naturelle 8,5 oz, MSC, congelé",High Liner Foods,KG CS,111.08,2,222.16
1068009,"Longes d’aiglefin 4 oz, emballé sous vide, MSC, congelé",High Liner Foods,KG CS,98.23,7,687.61
7372086,Pommes de terre rissolées galettes triangulaires,McCain,EA CS,73.33,3,219.99
8263756,"Pommes de terre rissolées sans pelure, gros cubes, surgelé",McCain,EA CS,57.56,5,287.8
1306926,"Cocktail aux pommes, 10 % de jus, concentré, 5 + 1, surgelé",Vitality,EA CS,113.76,1,113.76
1427374,"Punch aux fruits, 10 % jus, concentré, 5 + 1",Vitality,EA CS,107.38,1,107.38
3295405,Muffins anglais nature,Oakrun Farm Bakery,EA CS,27.64,6,165.84
1154761,"Oignons blancs en dés, 3/8 po, surgélation individuelle",Alasko,EA CS,26.34,2,52.68
1363768,"Pepperoni tranché 2,5 po no 88, surgelé",Roma,KG EA,53.79,2,107.58
1347484,"Gratin dauphinois, mets préparé, congelé",Bonduelle,EA CS,84.05,3,252.15
5113078,"Gâteau quatre-quarts aux pommes et canneberges, 15 po",Hafner,EA CS,46.67,2,93.34
4523078,"Gâteau quatre-quarts aux carotte et ananas, 15 po",Hafner,EA CS,47.8,2,95.6
